trail_name,osm_id,total_score,breakdown,distance_miles,surface,difficulty,highway_type,county,ref
Headwater Road,817015144,105,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",1.435,gravel,grade2,track,Unknown,FS 475B
Trail 267283649,267283649,90,"{'surface': 20, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 10}",1.434,unpaved,grade3,track,Unknown,FS 475C
Trail 899314482,899314482,70,"{'surface': 20, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 0}",1.432,unpaved,grade4,track,Unknown,nan
Pounding Mill,112927500,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.424,ground,unknown,path,Unknown,349
Deep Gap Trail,945136722,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.409,ground,demanding_mountain_hiking,path,Unknown,nan
Adventure Trail,410475887,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.408,ground,mountain_hiking,path,Unknown,nan
Trail 1182374617,1182374617,75,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 0, 'forest_service': 0}",1.4,ground,unknown,path,Unknown,nan
Trail 16781490,16781490,80,"{'surface': 20, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 0}",1.397,unpaved,grade2,track,Transylvania,nan
Trail 16631270,16631270,90,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 10}",1.39,ground,unknown,track,Unknown,FS 4643
Auger Hole Trail,283841092,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.387,ground,mountain_hiking,path,Unknown,nan
Golden Ridge Trail,666361555,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.375,ground,unknown,path,Unknown,TR 294
Buckhorn Gap,129035302,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.374,ground,unknown,path,Unknown,103
Angel Mountain Drive,16753262,75,"{'surface': 25, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",1.372,gravel,unknown,track,Rutherford,nan
Trail 945136751,945136751,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 0}",1.368,ground,grade5,track,Unknown,nan
Case Camp Ridge Trail,503396953,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 10, 'length': 15, 'named': 10, 'forest_service': 0}",1.359,ground,unknown,footway,Unknown,119
Pinnacle Trail,210998518,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 10, 'length': 15, 'named': 10, 'forest_service': 0}",1.357,ground,unknown,footway,Unknown,nan
Wolf Ford Road,453509862,105,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",1.341,gravel,grade2,track,Unknown,FS 476
Horse Cove Gap,152672995,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.335,ground,unknown,path,Unknown,325
Trace Ridge,840275776,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.333,ground,unknown,path,Unknown,354
Baskins Creek Trail,981356153,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.329,ground,unknown,path,Unknown,nan
Hemlock Ridge,1161197017,90,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",1.322,ground,unknown,track,Unknown,nan
Sawmill Bottoms Trail,1161222041,90,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",1.32,ground,unknown,track,Unknown,nan
Buck Knob,1161225726,90,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",1.32,ground,unknown,track,Unknown,nan
Davidson River Trail,152922838,105,"{'surface': 40, 'difficulty': 25, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.317,ground,hiking,path,Unknown,650
Cove Creek Road,313768899,105,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",1.305,gravel,grade2,track,Unknown,FS 225
Trail 648369658,648369658,65,"{'surface': 20, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 0, 'forest_service': 0}",1.299,unpaved,grade4,path,Unknown,nan
Daniel Ridge Loop,16786617,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.291,ground,unknown,path,Unknown,105
Trail 16586721,16586721,95,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 10}",1.286,gravel,grade3,track,Unknown,FS 148A
Mountains-to-Sea Trail,697612044,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.284,ground,mountain_hiking,path,Unknown,nan
Caney Bottom Trail,172822396,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.276,ground,unknown,path,Unknown,361
Trail 663589307,663589307,100,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 10}",1.262,ground,grade4,track,Unknown,FS 4652
Mullinax Trail,112927475,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.261,ground,unknown,path,Unknown,nan
Middle Fork,112927480,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.259,ground,unknown,path,Unknown,352
Pump Gap Loop,655217708,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.25,ground,unknown,path,Unknown,TR 309
Pump Gap Loop,655217699,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.248,ground,unknown,path,Unknown,TR 309
Appalachian Trail,30671411,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.245,ground,unknown,path,Unknown,TR 1-08
Yellow Gap Road,840282104,80,"{'surface': 25, 'difficulty': 10, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",1.243,gravel,grade1,track,Transylvania,NFD 1206
Trail 725732027,725732027,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 0}",1.237,ground,grade5,track,Unknown,nan
Big Glassy Trail,326453731,60,"{'surface': 20, 'difficulty': 5, 'trail_type': 10, 'length': 15, 'named': 10, 'forest_service': 0}",1.232,unpaved,unknown,footway,Unknown,nan
Rocky Cove Road,39799998,105,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",1.227,gravel,hiking,track,Unknown,FS 4791
Cascade Loop,319278809,75,"{'surface': 20, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.226,unpaved,mountain_hiking,path,Unknown,nan
Appalachian Trail,30673823,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.212,ground,unknown,path,Unknown,TR 1-08
Beetree Hollow Trail,708519187,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.212,ground,unknown,path,Unknown,nan
Mount Mitchell Trail,114576860,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.208,ground,mountain_hiking,path,Unknown,TR 190
Higgins Bald Trail,146253896,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.208,ground,mountain_hiking,path,Unknown,TR 190A
Trail 1160767693,1160767693,90,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 10}",1.207,ground,unknown,track,Unknown,FS 4652B
Appalachian Trail,30673782,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.205,ground,unknown,path,Unknown,TR 1-08
Fletcher Creek Trail,112927497,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.201,ground,unknown,path,Unknown,350
Trail 945136759,945136759,90,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 0}",1.201,ground,grade4,track,Unknown,nan
Baskins Creek Trail,167431652,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.185,ground,unknown,path,Unknown,nan
Wolf Branch Trail,114869521,115,"{'surface': 40, 'difficulty': 25, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 10}",1.183,ground,hiking,path,Unknown,FS 666
Trail 288669150,288669150,75,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 0, 'forest_service': 0}",1.182,ground,unknown,path,Transylvania,nan
Mount Pisgah Trail,601775560,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 10, 'length': 15, 'named': 10, 'forest_service': 0}",1.181,ground,unknown,footway,Unknown,nan
Perry Cove,162933205,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.178,ground,unknown,path,Unknown,151
CCC Road,16780802,90,"{'surface': 20, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",1.177,unpaved,grade3,track,Transylvania,nan
Bear Branch,152389516,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.177,ground,unknown,path,Unknown,328
Courthouse Creek Road,267506026,90,"{'surface': 25, 'difficulty': 10, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",1.176,gravel,grade1,track,Transylvania,FS 140
Coontree Loop,162933524,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.164,ground,unknown,path,Unknown,144
Trail 1189853513,1189853513,70,"{'surface': 40, 'difficulty': 5, 'trail_type': 10, 'length': 15, 'named': 0, 'forest_service': 0}",1.164,ground,unknown,footway,Unknown,nan
Daniel Ridge Loop,628901570,110,"{'surface': 40, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",1.162,ground,grade2,track,Unknown,105
Mount Mitchell Trail,146253906,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.16,ground,demanding_mountain_hiking,path,Unknown,TR 190
Skyline Trail,542669226,75,"{'surface': 20, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.16,unpaved,mountain_hiking,path,Unknown,nan
Auger Hole Trail,725732046,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.16,ground,mountain_hiking,path,Unknown,nan
Pump Gap Loop,672349740,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.157,ground,unknown,path,Unknown,TR 309
Lookut Mountain Perimeter Trail,1326270871,75,"{'surface': 35, 'difficulty': 5, 'trail_type': 10, 'length': 15, 'named': 10, 'forest_service': 0}",1.157,dirt,unknown,footway,Unknown,nan
Bent Creek Gap Road,16436878,110,"{'surface': 25, 'difficulty': 10, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",1.148,gravel,grade1,track,Buncombe,FS 479
Ingles Field Gap,114869516,115,"{'surface': 40, 'difficulty': 25, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 10}",1.147,ground,hiking,path,Unknown,FS 150
Trail 1354056976,1354056976,80,"{'surface': 20, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 0}",1.144,unpaved,grade3,track,Unknown,nan
Deer Lake Lodge Trail,114869528,115,"{'surface': 40, 'difficulty': 25, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 10}",1.138,ground,hiking,path,Unknown,FS 664
Spruce Mountain Trail,167434354,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.138,ground,unknown,path,Unknown,nan
Commissary Trail,274850232,95,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",1.138,gravel,grade2,track,Yancey,nan
Appalachian Trail,30673788,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.127,ground,unknown,path,Unknown,TR 1-08
Black Mountain Trail,1009980090,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.125,ground,unknown,path,Unknown,127
Rocky Branch,656801240,105,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",1.123,gravel,grade2,track,Unknown,FS 3550
Soapstone Road,279400894,110,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",1.115,ground,grade4,track,Unknown,FS 5059A
Trail 363234524,363234524,55,"{'surface': 20, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 0, 'forest_service': 0}",1.111,unpaved,unknown,path,Unknown,nan
Big Butt Road,977039310,100,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",1.107,ground,grade5,track,Unknown,FS 94A
Spencer Branch Upper,402083696,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.106,ground,unknown,path,Unknown,600
Mountains-to-Sea Trail,663589331,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.105,ground,mountain_hiking,path,Unknown,nan
Black Mountain Trail,614095578,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.102,ground,unknown,path,Unknown,127
Searcy Connector,1354661607,75,"{'surface': 35, 'difficulty': 5, 'trail_type': 10, 'length': 15, 'named': 10, 'forest_service': 0}",1.102,dirt,unknown,footway,Unknown,nan
Grassy Road Trail,152918966,120,"{'surface': 40, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",1.099,ground,grade3,track,Unknown,FS 5061A;TR 364
Big Ivy Road,113233049,110,"{'surface': 25, 'difficulty': 10, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",1.096,gravel,grade1,track,Buncombe,FS 74
Mountains-to-Sea Trail,663589338,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.095,ground,mountain_hiking,path,Unknown,nan
Mountains-to-Sea Trail,663589356,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.095,ground,mountain_hiking,path,Unknown,nan
Trail 286154577,286154577,55,"{'surface': 25, 'difficulty': 5, 'trail_type': 10, 'length': 15, 'named': 0, 'forest_service': 0}",1.087,gravel,unknown,footway,Unknown,nan
Mountains-to-Sea Trail,98442049,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.08,ground,mountain_hiking,path,Unknown,nan
Justus Cove,279415113,90,"{'surface': 20, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",1.078,unpaved,grade4,track,Unknown,FS 5040
Middle Prong Road,616960233,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.073,ground,mountain_hiking,path,Unknown,nan
Brushy Creek,249745447,80,"{'surface': 35, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.072,dirt,unknown,path,Unknown,nan
Hickey's Fork Road,829330306,105,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",1.072,gravel,grade2,track,Unknown,FS 465
Fire Tower Road,16439932,115,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",1.066,gravel,grade2,track,Buncombe,nan
Upper Cove Creek - C,279439244,110,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",1.066,ground,grade4,track,Unknown,FS 225C
Seniard Ridge Trail,503400011,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 10, 'length': 15, 'named': 10, 'forest_service': 0}",1.066,ground,unknown,footway,Unknown,nan
Catheys Creek Road,1002681965,105,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",1.066,gravel,grade2,track,Unknown,FS 471
Appalachian Trail,30671415,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.065,ground,unknown,path,Unknown,TR 1-08
Canebrake Trail,725732065,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.065,ground,mountain_hiking,path,Transylvania,nan
Old Mitchell Toll Road,16418489,120,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",1.061,ground,grade4,track,Buncombe,nan
CCC Road,16781601,90,"{'surface': 20, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",1.061,unpaved,grade3,track,Transylvania,nan
Farmer Mountain Road,658008831,100,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",1.061,ground,grade4,track,Unknown,nan
Nancy Fields Road,275513599,110,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",1.06,ground,grade4,track,Unknown,FS 86F
Catheys Creek Road,494010121,105,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",1.047,gravel,grade2,track,Unknown,FS 471
Clawhammer Cove,481458418,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 10, 'length': 15, 'named': 10, 'forest_service': 0}",1.043,ground,unknown,footway,Unknown,342
Three Lakes Trail,162987369,80,"{'surface': 35, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.04,dirt,unknown,path,Unknown,nan
Trail 1389745251,1389745251,60,"{'surface': 25, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 0, 'forest_service': 0}",1.04,gravel,unknown,path,Unknown,nan
Deep Gap Road,945136750,100,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",1.034,ground,grade4,track,Unknown,nan
Middle Spring Ridge Trail,977072719,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.032,ground,unknown,path,Unknown,TR 4
Mount Pisgah Trail,81137458,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.03,ground,unknown,path,Unknown,nan
Stony Knob Trail,963993804,80,"{'surface': 35, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.03,dirt,unknown,path,Unknown,nan
Alarka Road,16777593,100,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",1.023,ground,grade4,track,Swain,nan
Yellow Gap Road,840282116,80,"{'surface': 25, 'difficulty': 10, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",1.022,gravel,grade1,track,Henderson,NFD 1206
Yellow Gap Road,16786639,80,"{'surface': 25, 'difficulty': 10, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",1.02,gravel,grade1,track,Transylvania,NFD 1206
Trail 960679018,960679018,70,"{'surface': 35, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 0, 'forest_service': 0}",1.017,dirt,unknown,path,Unknown,nan
Trail 938607322,938607322,75,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 0, 'forest_service': 0}",1.016,ground,unknown,path,Unknown,nan
Lake Imaging Road,267238360,95,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",1.015,gravel,grade3,track,Transylvania,nan
Fletcher Creek Trail,112927483,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.013,ground,unknown,path,Unknown,350
Mountains-to-Sea Trail,663624410,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.013,ground,mountain_hiking,path,Unknown,nan
Wilson Boundary Road,945136765,100,"{'surface': 40, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",1.013,ground,grade4,track,Yancey,nan
Spencer Gap,178179373,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.012,ground,unknown,path,Unknown,600
Trail 266733170,266733170,90,"{'surface': 20, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 10}",1.003,unpaved,grade3,track,Unknown,FS 475C
Bent Creek Trail,363235985,80,"{'surface': 35, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.003,dirt,unknown,path,Unknown,nan
Big Piney Ridge Trail,171710193,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",1.0,ground,mountain_hiking,path,Unknown,nan
Trail 16779317,16779317,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 0}",0.993,ground,grade5,track,Transylvania,nan
Yellow Gap Road,840282109,80,"{'surface': 25, 'difficulty': 10, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",0.992,gravel,grade1,track,Transylvania,NFD 1206
Buck Knob,1161225725,90,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",0.988,ground,unknown,track,Unknown,nan
Flat Branch,671104460,80,"{'surface': 20, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",0.986,unpaved,grade4,track,Unknown,nan
Trail 1113392614,1113392614,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 0}",0.979,ground,unknown,track,Unknown,nan
Trail 16426246,16426246,85,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 0}",0.978,gravel,grade2,track,Unknown,nan
Lower Piney Trail,171710443,105,"{'surface': 40, 'difficulty': 25, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.975,ground,hiking,path,Unknown,nan
Cove Creek Road,628901564,105,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",0.973,gravel,grade2,track,Unknown,FS 225
Carolina Loop,1348957806,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 10, 'length': 15, 'named': 10, 'forest_service': 0}",0.973,ground,unknown,footway,Unknown,nan
Art Loeb Trail,98441954,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.972,ground,unknown,path,Unknown,nan
Perimeter Trail,286154576,60,"{'surface': 20, 'difficulty': 5, 'trail_type': 10, 'length': 15, 'named': 10, 'forest_service': 0}",0.972,unpaved,unknown,footway,Unknown,nan
Trail 16780365,16780365,75,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 0, 'forest_service': 0}",0.971,ground,unknown,path,Transylvania,nan
Avery Creek Road,16786719,105,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",0.962,gravel,grade2,track,Transylvania,FS 477
Trail 1354056992,1354056992,85,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 0, 'forest_service': 0}",0.961,gravel,grade2,track,Unknown,nan
Appalachian Trail,30671398,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.959,ground,unknown,path,Unknown,TR 1-08
Slick Rock Falls Trail,172819697,80,"{'surface': 40, 'difficulty': 5, 'trail_type': 10, 'length': 15, 'named': 10, 'forest_service': 0}",0.952,ground,unknown,footway,Unknown,117
Rice Pinnacle Road,271627451,105,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",0.951,gravel,grade2,track,Unknown,FS 491
Corn Mill Shoals Trail,162982000,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.947,ground,grade4,path,Unknown,nan
Kitsuma Trail,684292853,95,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.946,ground,mountain_hiking,path,Unknown,TR205
Owl Ridge Trail,271782279,95,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",0.945,gravel,grade3,track,Unknown,nan
Hickey's Fork Road,395478688,105,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",0.942,gravel,grade2,track,Unknown,FS 465
Buckhorn Gap,816523711,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.937,ground,unknown,path,Unknown,103
Oconaluftee River Trail,167433134,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.936,ground,unknown,path,Unknown,nan
Worm Hole,404661878,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.935,ground,unknown,path,Unknown,nan
South Mills River Road,481453251,80,"{'surface': 20, 'difficulty': 15, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 0}",0.933,unpaved,grade4,track,Unknown,TR 133
Turkey Knob Trail,225350655,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.93,ground,unknown,path,Unknown,nan
Catheys Creek Road,1002681967,105,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 15, 'named': 10, 'forest_service': 10}",0.93,gravel,grade2,track,Unknown,FS 471
Stomping Knob Trail,171709273,85,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 15, 'named': 10, 'forest_service': 0}",0.929,ground,demanding_mountain_hiking,path,Unknown,nan
